Order ID,Product,Category,Sales,Quantity,Discount,Profit,Region,Segment,Order Date
ORD-1000,Phone,Furniture,84.9,4,0.1,22.547993873848093,South,Home Office,2022-04-29
ORD-1001,Binder,Office Supplies,130.52,2,0.03,8.466749855344318,Central,Corporate,2022-06-05
ORD-1002,Notebook,Office Supplies,88.73,7,0.19,12.913493694356516,East,Consumer,2023-11-18
ORD-1003,Binder,Furniture,101.42,2,0.18,7.88740904018407,South,Consumer,2023-04-10
ORD-1004,Binder,Technology,149.7,1,0.5,21.906284855979834,West,Corporate,2022-04-14
ORD-1005,Printer,Office Supplies,94.95,9,0.22,5.800892715905182,West,Consumer,2023-08-27
ORD-1006,Notebook,Office Supplies,449.42,1,0.17,56.28860021487936,West,Home Office,2023-11-29
ORD-1007,Notebook,Office Supplies,49.31,8,0.29,8.208861776889512,West,Home Office,2023-05-17
ORD-1008,Notebook,Furniture,267.01,2,0.04,57.96601867862596,Central,Consumer,2023-11-24
ORD-1009,Binder,Office Supplies,211.09,8,0.48,17.08873243505222,South,Home Office,2023-11-13
ORD-1010,Phone,Technology,491.37,3,0.32,45.65274866917761,East,Consumer,2023-11-30
ORD-1011,Notebook,Office Supplies,64.9,6,0.38,6.011681722052603,South,Corporate,2022-06-24
ORD-1012,Desk,Office Supplies,204.95,3,0.09,21.64740308056761,Central,Consumer,2023-11-05
ORD-1013,Binder,Technology,485.04,7,0.2,39.32053771806924,West,Corporate,2023-02-25
ORD-1014,Printer,Office Supplies,434.1,9,0.21,58.56023771028704,Central,Home Office,2022-05-14
ORD-1015,Phone,Furniture,410.37,2,0.41,28.360149127925947,South,Corporate,2023-01-26
ORD-1016,Desk,Furniture,136.37,5,0.0,16.6187868105095,East,Home Office,2023-05-16
ORD-1017,Desk,Furniture,93.73,6,0.15,17.064545988762426,Central,Consumer,2023-10-27
ORD-1018,Printer,Technology,337.64,4,0.49,50.304480446081826,East,Home Office,2022-02-02
ORD-1019,Phone,Office Supplies,465.39,4,0.24,71.06089618598223,Central,Consumer,2022-02-24
ORD-1020,Binder,Furniture,282.81,4,0.19,15.862344023830232,East,Consumer,2023-06-03
ORD-1021,Chair,Technology,290.09,2,0.06,18.78685187758768,East,Corporate,2023-09-30
ORD-1022,Phone,Office Supplies,147.19,4,0.49,21.608442944223004,West,Corporate,2022-01-12
ORD-1023,Printer,Technology,387.05,1,0.01,47.63790909614224,East,Corporate,2023-06-12
ORD-1024,Desk,Furniture,101.65,6,0.37,4.675955938807172,West,Corporate,2023-12-21
ORD-1025,Binder,Furniture,168.6,1,0.38,20.88143219600092,South,Home Office,2023-07-09
ORD-1026,Phone,Furniture,218.46,6,0.12,39.58554866316414,South,Home Office,2023-01-08
ORD-1027,Chair,Technology,258.73,1,0.34,36.22305259803585,West,Home Office,2023-04-29
ORD-1028,Chair,Technology,128.78,6,0.05,14.295607872529864,West,Consumer,2023-10-09
ORD-1029,Notebook,Furniture,66.27,8,0.13,3.100546246829284,Central,Home Office,2022-08-16
ORD-1030,Notebook,Technology,309.2,2,0.39,54.93396971588671,Central,Home Office,2023-09-15
ORD-1031,Printer,Furniture,151.43,2,0.43,9.729719582033022,Central,Home Office,2022-11-03
ORD-1032,Phone,Furniture,294.81,4,0.3,45.19572924663502,South,Corporate,2023-04-02
ORD-1033,Phone,Office Supplies,85.64,3,0.25,14.55820913557738,Central,Home Office,2022-06-09
ORD-1034,Desk,Technology,245.76,4,0.08,45.785507248934515,East,Consumer,2022-11-27
ORD-1035,Desk,Furniture,270.97,7,0.03,33.703260277942526,East,Corporate,2022-08-13
ORD-1036,Desk,Furniture,35.39,1,0.06,3.917942658866917,Central,Consumer,2023-12-30
ORD-1037,Notebook,Technology,174.94,6,0.11,31.04855988616242,East,Home Office,2023-05-19
ORD-1038,Phone,Office Supplies,75.86,3,0.17,16.781358063899955,South,Corporate,2023-04-01
ORD-1039,Phone,Office Supplies,41.05,7,0.19,9.532367463391843,East,Consumer,2022-02-14
